Collection,Century,Place,Region,Latitude,Longitude
EMML (HMML),20,"Savior of the World (Madhane Alam), Church of","South: Addis Ababa, Qarānyo/Aqāqi",8.86824,38.79112
EMML (HMML),17,"Savior of the World (Madhane Alam), Church of (in Addis or Gojjam?)","South: Addis Ababa, Qarānyo/Aqāqi",8.86824,38.79112
EMML (HMML),16,Private library of Walga Mefrratu,"South: Addis Ababa, Takla Haymanot quarter",8.9853,38.71711
EMML (HMML),20,Bookseller,"South: Addis Ababa, Takla Haymanot quarter",8.9853,38.71711
EMML (HMML),20,St. Takla Haymanot Church,"South: Addis Ababa, Takla Haymanot quarter",8.9853,38.71711
EMML (HMML),17,"Unidentified library, presumably a bookseller,","South: Addis Ababa, Takla Haymanot quarter",8.9853,38.71711
EMML (HMML),19,Bookseller Ayele,"South: Addis Ababa, Takla Haymanot quarter",8.9853,38.71711
EMML (HMML),20,"Apostles (Hawariat), Church of","South: Addis Ababa, Takla Haymanot quarter",8.9853,38.71711
EMML (HMML),18,Bookseller Walga Mefrratu,"South: Addis Ababa, Takla Haymanot quarter",8.9853,38.71711
EMML (HMML),19,Bookseller Walga Mefrratu,"South: Addis Ababa, Takla Haymanot quarter",8.9853,38.71711
EMML (HMML),20,St. Cyriacus [Qirqos] Church,"South: Addis Ababa, Bole 3",9.00456,38.75369
EMIP (EMIP),20,"Mekane Yesus Library, digitized at","South: Addis Ababa, Ledata",9.01039,38.73706
EMML (HMML),20,"Nativity, the Church of","South: Addis Ababa, Ledata",9.01039,38.73706
EMML (HMML),19,St. Urael Church,"South: Addis Ababa, Bole",9.01059,38.7756
EMML (HMML),20,St. Stephen Church,"South: Addis Ababa, Bole",9.01059,38.7756
EMML (HMML),20,St. Stephen Church,"South: Addis Ababa, Bole",9.01059,38.7756
EMML (HMML),20,St. Paul (Paulos) Church,"South: Addis Ababa, Kolfe",9.02862,38.70371
EMML (HMML),18,Patriarchate Library,"South: Addis Ababa, Makkāklaňňā",9.03679,38.76187
EMML (HMML),19,Institute of Ethiopian Studies,South: Addis Ababa,9.04673,38.758
EMML (HMML),16,Institute of Ethiopian Studies,South: Addis Ababa,9.04673,38.758
EMML (HMML),19,Institute of Ethiopian Studies,South: Addis Ababa,9.04673,38.758
EMML (HMML),18,Institute of Ethiopian Studies,South: Addis Ababa,9.04673,38.758
EMML (HMML),16,"Institute of Ethiopian Studies, University of Addis Ababa",South: Addis Ababa,9.04673,38.758
EMML (HMML),18,"Institute of Ethiopian Studies, University of Addis Ababa",South: Addis Ababa,9.04673,38.758
EMML (HMML),20,"Savior of the World (Madhane Alam), Church of (also Gulale)","South: Addis Ababa, Gulale",9.05327,38.72335
EMML (HMML),20,"Savior of the World (Madhane Alam), Church of","South: Addis Ababa, Gulale",9.05327,38.72335
EMML (HMML),20,"Savior of the World (Madhane Alam), Church of","South: Addis Ababa, Gulale",9.05327,38.72335
EMML (HMML),20,"Savior of the World (Madhane Alam), Church of","South: Addis Ababa, Gulale",9.05327,38.72335
EMML (HMML),20,Sts. Peter & Paul Church,"South: Addis Ababa, Kolfe",9.05344,38.71515
EMML (HMML),19,St. Raphael Church (Gulale?),"South: Addis Ababa, Gulale",9.05789,38.72761
EMML (HMML),20,Trinity Cathedral,"South: Addis Ababa, Makkāklaňňā (central quarter)",9.06476,38.772
EMML (HMML),19,Trinity Cathedral,"South: Addis Ababa, Makkāklaňňā (central quarter)",9.06476,38.772
EMML (HMML),20,Trinity Cathedral,"South: Addis Ababa, Makkāklaňňā (central quarter)",9.06476,38.772
EMML (HMML),19,Trinity Cathedral,"South: Addis Ababa, Makkāklaňňā (central quarter)",9.06476,38.772
EMML (HMML),20,St. Mary Church,"South: Addis Ababa, Makkāklaňňā",9.06476,38.772
EMML (HMML),20,Patriarchate Library,"South: Addis Ababa, Makkāklaňňā",9.06476,38.772
EMML (HMML),20,Patriarchate Library,"South: Addis Ababa, Makkāklaňňā",9.06476,38.772
EMML (HMML),19,Patriarchate Library,"South: Addis Ababa, Makkāklaňňā",9.06476,38.772
EMML (HMML),19,Private library of Dr. Abraham Demoz,"South: Addis Ababa, Makkāklaňňā",9.06476,38.772
EMML (HMML),19,"St. Takla Haymanot Church, Ato Ayele (bookseller)","South: Addis Ababa, Makkāklaňňā",9.06476,38.772
EMML (HMML),19,"St. Markos (Mark) Church, microfilmed at","South: Addis Ababa, Enṭoṭṭo",9.11658,38.77222
EMML (HMML),19,St. Ragu'el Church,"South: Addis Ababa, Enṭoṭṭo",9.11658,38.77222
EMML (HMML),20,"Our Lady of Mount Qwesqwam, Church of","South: Addis Ababa, Enṭoṭṭo",9.11658,38.77222
EMML (HMML),16,Darafo Maryam Church,"South: Ankobar, Shoa",9.54882,39.69241
EMML (HMML),16,Darafo Maryam Church,"South: Ankobar, Shoa",9.54882,39.69241
